num,YEAR,CONTNUM,VESSEL,Start_Loading,End_Loading,DAYS,LAB3,LP-cobalt,DP-cobalt,LP-silica,DP-silica,LP-alumina,DP-alumina,LP-moisture,DP-moisture,LP-TONNAGE,DP-TONNAGE
1030,2022,77,JIN WAN A,2022-11-22,2022-12-07,15,,0.9199999999999999,,48.08,,3.81,,40.35,,53708.0,
1033,2022,80,JIN MAO ,2022-11-16,2022-11-25,9,,0.8500000000000001,,49.17,,4.1,,40.68,,55200.0,
1029,2022,76,RUI NING 1 ,2022-11-06,2022-11-14,8,CCIC,0.95,0.9299999999999999,48.339999999999996,47.599999999999994,3.7800000000000002,4.279999999999999,38.89,40.44,50400.0,
1028,2022,75,ZHE HAI 526,2022-10-27,2022-11-07,11,SGS,0.96,0.96,48.51,47.49,3.8,4.66,38.550000000000004,40.160000000000004,53820.0,
1034,2022,81,YIN PING ,2022-10-24,2022-11-06,13,COTECNA,0.83,0.8,49.59,47.52,4.16,4.590000000000001,39.04,41.24,52100.0,52126.0
1027,2022,74,YUE DIAN 54,2022-10-22,2022-11-06,15,,0.9199999999999999,,48.77,,3.9699999999999998,,38.81,,54700.0,
1023,2022,70,PU LAN HAI,2022-10-22,2022-11-02,11,SGS,0.91,0.8999999999999999,48.67,47.949999999999996,4.08,4.67,39.46,39.93,55335.0,
1021,2022,68,JOSCO YANGZHOU,2022-10-20,2022-10-31,11,COTECNA,0.9400000000000001,0.88,48.449999999999996,46.910000000000004,3.92,4.41,39.550000000000004,39.42,53750.0,
1022,2022,69,KANG HONG,2022-10-16,2022-10-26,10,SGS,0.9400000000000001,0.95,48.52,47.599999999999994,3.95,4.65,40.050000000000004,39.65,54200.0,
1032,2022,79,YUE DIAN 58 ,2022-10-16,2022-10-22,6,COTECNA,0.84,0.8200000000000001,49.8,48.24,4.43,4.6899999999999995,41.13,,55230.0,
1024,2022,71,ZHE HAI 169,2022-10-13,2022-10-22,9,SGS,0.97,0.97,48.370000000000005,47.4,3.74,4.22,41.339999999999996,39.6,54300.0,
1025,2022,72,OSLO VENTURE,2022-10-11,2022-10-20,9,COTECNA,1.91,1.9,12.24,12.26,1.08,,32.96,32.96,60500.0,
1019,2022,66,JIN RONG,2022-10-10,2022-10-16,6,,0.9900000000000001,,48.08,,4.32,,39.25,,56100.0,
1026,2022,73,JIN SHUN,2022-10-07,2022-11-22,46,,0.91,,48.82,,3.7600000000000002,,40.83,,50300.0,
1020,2022,67,GUO TAI PING AN,2022-10-07,2022-10-13,6,COTECNA,1.0,0.95,48.69,47.099999999999994,4.09,4.3,39.77,39.81,55100.0,
1031,2022,78,CHANG HANG HAO HAI,2022-10-05,2022-10-13,8,CCIC,0.84,0.8500000000000001,49.13,47.74,4.49,4.46,39.56,,56060.0,
1017,2022,64,JIAN XING,2022-10-04,2022-11-20,47,,1.83,,13.320000000000002,,1.0699999999999998,,33.900000000000006,,49639.0,
1008,2022,55,JIN YAO,2022-10-01,2022-10-10,9,,0.84,,48.05,,7.630000000000001,,34.29,,50900.0,
1018,2022,65,JIN GANG,2022-09-30,2022-10-08,8,COTECNA,1.87,1.8599999999999999,12.559999999999999,12.8,1.23,,33.1,33.1,54800.0,
1015,2022,62,ZHE HAI 526,2022-09-25,2022-10-03,8,SGS,1.0,1.01,48.449999999999996,48.13,4.03,4.2700000000000005,39.35,40.35,53735.0,
1016,2022,63,JIN ZHOU HAI,2022-09-23,2022-09-29,6,,1.03,,48.79,,4.03,,40.83,,54630.0,
1010,2022,57,JIN AN,2022-09-22,2022-09-27,5,CCIC,0.9900000000000001,0.96,48.809999999999995,48.07,4.41,4.569999999999999,40.44,40.2,54385.0,
1006,2022,53,HAUT BRION,2022-09-19,2022-09-28,9,SGS,1.01,1.0,48.94,47.32,4.22,4.62,40.5,39.96,54445.0,
1011,2022,58,JIN TONG,2022-09-18,2022-09-23,5,CCIC,1.0,0.9900000000000001,48.97,48.089999999999996,4.21,4.2700000000000005,41.31,41.010000000000005,55250.0,
1014,2022,61,DE XIN XING LONG,2022-09-17,2022-09-22,5,SGS,0.9900000000000001,0.9900000000000001,49.65,48.08,3.93,4.29,40.68,40.78,52200.0,
1007,2022,54,YUAN HANG WEI YE,2022-09-14,2022-09-21,7,CCIC,0.8500000000000001,0.86,48.32,48.1,7.539999999999999,7.3999999999999995,34.849999999999994,34.22,49500.0,
1013,2022,60,RUI NING 3,2022-09-13,2022-09-17,4,SGS,0.97,0.98,50.4,48.72,3.8600000000000003,3.95,40.21,40.92,51660.0,
1009,2022,56,CN JOURNEY,2022-09-10,2022-09-18,8,,0.97,,50.29,,3.9,,39.06,,54300.0,
1012,2022,59,YIN SHUN,2022-09-08,2022-09-14,6,CSI,0.98,0.95,49.65,48.36,4.16,4.09,37.59,37.51,52000.0,
1003,2022,50,HONG LONG ZHI XING,2022-09-07,2022-09-13,6,CCIC,0.9900000000000001,0.9900000000000001,49.46,48.3,4.01,3.8899999999999997,37.84,41.29,52020.0,
1001,2022,48,GUO HAI LIAN 98,2022-09-07,2022-09-12,5,,1.01,,49.519999999999996,,3.95,,37.69,,54980.0,
1005,2022,52,YUE DIAN 52,2022-09-05,2022-09-09,4,SGS,1.0,0.9900000000000001,49.370000000000005,48.04,4.109999999999999,4.38,37.49,39.97,54300.0,
1004,2022,51,JIN XING,2022-09-03,2022-09-07,4,SGS,0.9400000000000001,0.9299999999999999,49.25,48.02,4.47,4.79,38.519999999999996,39.06,53850.0,
1000,2022,47,YUE DIAN 53,2022-09-01,2022-09-05,4,,0.9900000000000001,,49.55,,4.2700000000000005,,39.26,,55100.0,
1002,2022,49,JOSCO HANG ZHOU,2022-08-31,2022-09-04,4,COTECNA,1.03,1.02,48.86,48.76,4.44,4.51,39.34,39.879999999999995,57060.0,
999,2022,46,JOSCO TAICANG,2022-08-28,2022-09-01,4,CCIC,1.02,1.01,49.53,48.65,4.68,4.75,39.489999999999995,39.95,57064.0,
996,2022,43,EM RUBY,2022-08-26,2022-08-29,3,SGS,0.95,0.96,50.019999999999996,48.209999999999994,4.09,4.38,41.589999999999996,40.71,53550.0,
995,2022,42,JIN YAO,2022-08-22,2022-08-27,5,SGS,0.96,0.96,49.84,48.07,4.46,4.61,38.33,40.14,50600.0,
998,2022,45,ZHONG CHANG XIN SHENG,2022-08-19,2022-08-25,6,COTECNA,0.97,0.96,49.75,49.519999999999996,4.760000000000001,4.52,41.11,40.089999999999996,53780.0,
997,2022,44,GREAT PROGRESS,2022-08-16,2022-08-24,8,,0.98,,50.0,,4.71,,41.78,,57616.0,
994,2022,41,JIN XIANG,2022-08-15,2022-08-21,6,CCIC,0.9900000000000001,0.95,50.41,49.09,4.5600000000000005,4.5600000000000005,42.059999999999995,41.510000000000005,59600.0,
992,2022,39,LUCKY SOURCE,2022-08-11,2022-08-17,6,COTECNA,0.98,0.95,50.01,49.19,4.46,4.71,41.32,40.28,51300.0,
991,2022,38,ZHONG CHANG HE SHENG,2022-08-07,2022-08-15,8,,0.97,,50.0,,4.19,,41.260000000000005,,51500.0,
993,2022,40,EM SAPPHIRE,2022-08-05,2022-08-13,8,,0.98,,49.99,,4.25,,41.24,,52900.0,
