dt,xrf,sample,ni,fe,alu
2022-01-01,2,S1,0.63,48.36,9.63
2022-01-01,4,S1,0.62,46.95,8.72
2022-01-10,4,S1,0.63,47.86,8.73
2022-01-10,2,S1,0.63,48.72,9.79
2022-01-17,2,S1,0.64,47.67,9.51
2022-01-17,4,S1,0.62,47.8,8.87
2022-01-26,4,S1,0.62,47.53,8.88
2022-01-26,3,S1,0.63,48.15,9.8
2022-01-26,2,S1,0.64,48.02,9.4
2022-01-31,4,S1,0.62,47.93,8.85
2022-01-31,3,S1,0.63,48.36,9.75
2022-01-31,2,S1,0.63,47.8,9.39
2022-02-03,4,S11,1.02,8.76,1.15
2022-02-07,4,S1,0.62,48.7,8.64
2022-02-07,3,S1,0.61,47.93,10.09
2022-02-07,2,S1,0.63,48.54,9.5
2022-02-12,2,S1,0.64,48.53,9.56
2022-02-12,3,S1,0.62,47.94,10
2022-02-12,4,S1,0.62,48.62,8.85
2022-02-14,4,S1,0.62,48.57,8.79
2022-02-14,2,S1,0.63,48.18,9.42
2022-02-14,3,S1,0.63,48.07,9.86
2022-02-15,4,S3,0.99,53.93,4.06
2022-02-16,3,S3,0.98,52.93,3.22
2022-02-16,2,S3,0.98,52.54,3.14
2022-02-21,4,S1,0.62,48.46,8.91
2022-02-21,3,S1,0.63,48.29,9.96
2022-02-21,2,S1,0.62,48.29,9.44
2022-02-28,4,S1,0.62,48.61,8.66
2022-02-28,3,S1,0.61,48.45,10.06
2022-02-28,2,S1,0.64,48.34,9.35
2022-03-07,4,S12,1.39,14.13,1.14
2022-03-07,3,S1,0.61,48.48,9.8
2022-03-07,4,S1,0.62,48.45,8.82
2022-03-15,4,S1,0.62,48.63,8.59
2022-03-15,3,S1,0.62,48.24,9.78
2022-03-21,3,S1,0.62,48.18,9.76
2022-03-21,4,S1,0.62,48.7,8.65
2022-03-21,4,S11,1.02,8.78,1.14
2022-03-28,4,S1,0.62,48.6,8.71
2022-03-28,3,S1,0.61,48.04,10.15
2022-03-28,2,S1,0.62,48.33,9.53
2022-04-01,4,S11,1,8.73,1.1
2022-04-04,3,S1,0.62,48.33,10.02
2022-04-04,2,S1,0.64,48.9,9.85
2022-04-05,4,S1,0.62,48.55,8.65
2022-04-07,2,S1,0.64,48.64,9.66
2022-04-08,2,S1,0.64,48.29,9.67
2022-04-10,4,S12,1.38,14.19,1.16
2022-04-11,4,S1,0.62,47.93,8.9
2022-04-11,2,S1,0.65,48.24,9.57
2022-04-11,3,S1,0.61,47.87,10.26
2022-04-12,4,S1,0.62,47.92,8.68
2022-04-12,3,S1,0.62,48.29,10.24
2022-04-12,2,S1,0.63,48.34,9.62
2022-04-18,4,S1,0.62,48.91,8.72
2022-04-18,3,S1,0.61,48.21,10.24
2022-04-18,2,S1,0.63,47.96,9.54
2022-04-23,2,S1,0.64,48.37,9.73
2022-04-24,2,S1,0.64,48.28,9.85
2022-04-25,2,S1,0.63,48.37,9.8
2022-04-25,4,S1,0.62,49.03,8.77
2022-04-25,3,S1,0.63,48.38,10.18
2022-04-26,2,S1,0.64,48.38,9.68
2022-04-29,2,S1,0.64,48.46,10.09
2022-04-29,4,S2,0.66,52.19,6.92
2022-04-29,3,S2,0.63,51.02,6.85
2022-04-29,3,S1,0.63,48.02,10.76
2022-04-29,2,S2,0.65,51.08,6.36
2022-04-29,4,S1,0.63,48.06,8.88
2022-04-30,4,S2,0.65,51.71,6.83
2022-04-30,3,S1,0.63,47.98,10.71
2022-04-30,4,S1,0.63,48.4,9.01
2022-04-30,3,S2,0.64,50.9,6.79
2022-05-01,3,S1,0.62,48.18,10.73
2022-05-01,3,S2,0.63,51.04,6.81
2022-05-02,4,S1,0.62,48.89,8.72
2022-05-02,3,S11,1,8.22,1.62
2022-05-02,3,S1,0.64,48.36,10.31
2022-05-02,3,S2,0.63,51.53,6.81
2022-05-02,2,S1,0.64,48.26,9.39
2022-05-03,3,S2,0.64,51.1,6.85
2022-05-03,3,S1,0.63,48.53,10.57
2022-05-03,3,S11,1,8.23,1.64
2022-05-04,3,S1,0.63,48.48,10.64
2022-05-04,3,S2,0.64,50.93,6.94
2022-05-04,3,S12,1.39,13.86,1.33
2022-05-05,3,S12,1.4,13.9,1.32
2022-05-05,3,S2,0.64,51.18,6.86
2022-05-05,3,S1,0.63,48.59,10.59
2022-05-06,3,S2,0.64,51.13,6.78
2022-05-06,4,S2,0.65,52.1,6.84
2022-05-06,4,S1,0.63,48.32,8.94
2022-05-06,3,S1,0.63,48.29,10.63
2022-05-07,3,S1,0.62,48.39,10.64
2022-05-07,4,S1,0.63,48.54,9.07
2022-05-07,4,S2,0.65,51.72,6.88
2022-05-07,3,S2,0.64,51.31,6.85
2022-05-08,3,S2,0.64,51.62,6.76
2022-05-08,4,S2,0.65,51.66,6.89
2022-05-08,3,S11,0.99,8.18,1.64
2022-05-08,4,S1,0.63,48.4,9.05
2022-05-08,3,S1,0.64,48.68,10.91
2022-05-10,2,S1,0.62,48.23,9.5
2022-05-10,4,S2,0.65,52.29,6.94
2022-05-10,4,S1,0.63,48.84,8.99
2022-05-10,3,S1,0.64,48.49,10.57
2022-05-10,3,S2,0.64,51.08,7.05
2022-05-11,4,S1,0.63,48.36,8.78
2022-05-11,4,S2,0.65,51.86,6.9
2022-05-11,3,S2,0.65,51.28,6.82
2022-05-11,3,S1,0.64,48.23,10.64
2022-05-12,3,S1,0.64,48.23,10.68
2022-05-12,3,S2,0.64,51.55,6.96
2022-05-12,4,S1,0.63,48.7,9.09
2022-05-12,4,S2,0.65,52.32,6.9
2022-05-13,3,S2,0.65,51.26,6.89
2022-05-13,4,S1,0.64,48.6,9.02
2022-05-13,3,S1,0.64,48.35,10.71
2022-05-13,4,S2,0.66,52.25,6.95
2022-05-13,3,S12,1.38,13.98,1.28
2022-05-14,4,S2,0.65,52.3,6.84
2022-05-14,3,S12,1.38,13.96,1.29
2022-05-14,3,S2,0.65,51.28,6.82
2022-05-14,3,S11,0.99,8.3,1.55
2022-05-14,4,S1,0.64,48.94,9.11
2022-05-14,3,S1,0.63,48.3,10.8
2022-05-15,3,S1,0.63,48.49,10.62
2022-05-15,2,S1,0.64,48.41,9.99
2022-05-15,2,S2,0.65,51.21,6.5
2022-05-15,3,S2,0.65,51.3,6.83
2022-05-16,3,S12,1.39,13.89,1.43
2022-05-16,2,S2,0.64,51.06,6.4
2022-05-16,3,S1,0.63,48.54,10.69
2022-05-16,2,S1,0.64,48.05,9.79
2022-05-16,3,S2,0.64,51.19,6.84
2022-05-17,3,S12,1.39,13.92,1.36
2022-05-17,2,S2,0.65,51.21,6.49
2022-05-17,2,S1,0.64,48.31,9.94
2022-05-17,3,S2,0.64,51.36,6.91
2022-05-17,3,S1,0.63,48.49,10.68
2022-05-18,2,S2,0.66,51.32,6.49
2022-05-18,2,S1,0.64,48.51,10.1
2022-05-18,3,S1,0.63,48.7,10.67
2022-05-18,3,S2,0.64,51.5,6.93
2022-05-19,3,S2,0.64,51.18,6.8
2022-05-19,2,S1,0.64,48.33,10.01
2022-05-19,3,S12,1.35,13.81,1.35
2022-05-19,3,S1,0.63,48.37,10.69
2022-05-19,2,S2,0.66,51.25,6.51
2022-05-20,2,S1,0.64,48.22,10
2022-05-20,3,S1,0.63,48.33,10.68
2022-05-20,3,S12,1.36,13.87,1.36
2022-05-20,2,S2,0.65,51.12,6.45
2022-05-20,2,S11,1,8.21,1.16
2022-05-20,3,S2,0.64,51.27,6.97
2022-05-20,2,S12,1.38,13.56,1.12
2022-05-21,3,S1,0.63,48.31,10.8
2022-05-21,2,S1,0.64,48.6,10.02
2022-05-21,2,S12,1.38,13.6,1.13
2022-05-21,2,S11,1,8.24,1.18
2022-05-21,2,S2,0.66,51.46,6.53
2022-05-21,3,S2,0.64,51.13,7.03
2022-05-22,3,S1,0.63,48.4,10.64
2022-05-22,3,S2,0.64,51.23,6.93
2022-05-22,2,S2,0.65,51.23,6.51
2022-05-22,2,S1,0.64,48.29,9.85
2022-05-22,3,S12,1.39,13.93,1.37
2022-05-23,3,S12,1.4,14.01,1.4
2022-05-23,3,S1,0.63,48.25,10.49
2022-05-23,2,S1,0.64,48.12,9.84
2022-05-23,2,S2,0.65,51.01,6.44
2022-05-23,3,S2,0.64,51.09,6.83
2022-05-24,3,S2,0.64,51.05,7.05
2022-05-24,2,S1,0.64,48.25,9.85
2022-05-24,2,S2,0.66,51.01,6.48
2022-05-24,2,S12,1.38,13.78,1.14
2022-05-24,3,S1,0.63,48.24,10.72
2022-05-25,3,S2,0.64,51.16,6.91
2022-05-25,2,S11,1.01,8.3,1.15
2022-05-25,2,S12,1.37,13.64,1.14
2022-05-25,2,S1,0.64,48.34,9.69
2022-05-25,3,S1,0.63,48.28,10.49
2022-05-25,3,S12,1.39,13.95,1.35
2022-05-25,3,S11,1,8.31,1.55
2022-05-25,2,S2,0.66,51.3,6.49
2022-05-26,3,S2,0.64,51.02,6.91
2022-05-26,3,S1,0.62,48.13,10.43
2022-05-26,2,S11,1,8.19,1.14
2022-05-26,2,S2,0.66,51.4,6.51
2022-05-26,2,S12,1.37,13.54,1.14
2022-05-26,3,S12,1.39,13.97,1.37
2022-05-26,2,S1,0.63,48.42,9.9
2022-05-27,2,S11,1.01,8.45,1.27
2022-05-27,2,S2,0.66,51.47,6.55
2022-05-27,3,S11,1,8.34,1.63
2022-05-27,4,S1,0.63,48.52,8.88
2022-05-27,3,S2,0.64,51.03,6.9
2022-05-27,4,S11,1.02,8.85,1.07
2022-05-27,2,S12,1.4,13.74,1.2
2022-05-27,4,S2,0.65,51.96,6.82
2022-05-27,3,S12,1.39,13.99,1.41
2022-05-27,2,S1,0.64,48.54,9.86
2022-05-27,3,S1,0.62,48.06,10.49
2022-05-27,4,S12,1.4,13.85,1.15
2022-05-28,2,S2,0.66,51.37,6.62
2022-05-28,2,S11,1.01,8.25,1.22
2022-05-28,2,S12,1.39,13.48,1.19
2022-05-28,2,S1,0.64,48.36,10.03
2022-05-28,4,S1,0.63,48.48,8.8
2022-05-28,3,S1,0.62,47.96,10.66
2022-05-28,4,S2,0.65,51.88,6.8
2022-05-28,3,S2,0.64,50.98,6.86
2022-05-28,3,S12,1.39,13.88,1.48
2022-05-29,2,S1,0.64,48.3,10.16
2022-05-29,3,S12,1.4,13.89,1.29
2022-05-29,4,S2,0.65,51.7,6.77
2022-05-29,2,S2,0.66,51.56,6.62
2022-05-29,3,S1,0.63,48.29,10.66
2022-05-29,2,S11,1,8.41,1.24
2022-05-29,4,S1,0.63,48.56,8.84
2022-05-29,3,S11,0.99,8.27,1.64
2022-05-29,3,S2,0.64,51.23,7.01
2022-05-29,2,S12,1.39,13.83,1.21
