date,xrf,sample,ni,fe,alu,mag,chrom,man
6/6/21,2,S1,0.63,48.212,10.35,0.982,,
6/6/21,2,S2,0.657,50.95,6.876,0.932,,
6/6/21,3,S1,0.644,49.09,10.768,0.794,,
6/6/21,3,S2,0.686,52.17,7.378,0.745,,
6/30/21,3,S1,0.646,48.975,11.075,0.738,,
6/30/21,2,S1,0.638,48.96,10.66,0.914,,
7/1/21,3,S1,0.641,49.242,10.897,0.756,,
7/1/21,2,S1,0.629,48.633,10.251,0.969,,
7/2/21,2,S1,0.626,48.635,10.198,1,,
7/2/21,3,S1,0.64,49.32,11.11,0.686,,
7/3/21,2,S1,0.635,48.74,10.188,1.04,,
7/4/21,2,S1,0.64,48.475,10.215,0.963,,
7/5/21,3,S1,0.641,49.358,10.92,0.794,,
7/6/21,2,S1,0.63,48.462,10.291,0.977,,
7/7/21,3,S2,0.683,52.393,7.118,0.679,,
7/7/21,2,S1,0.628,48.442,10.356,0.953,,
7/7/21,3,S1,0.646,49.323,10.841,0.777,,
7/7/21,2,S2,0.665,52.03,7.054,0.927,,
7/8/21,2,S1,0.63,48.714,10.2,0.985,,
7/9/21,2,S1,0.637,48.372,10.248,0.968,,
7/9/21,3,S1,0.634,49.54,10.667,0.8,,
7/10/21,2,S1,0.63,48.516,10.152,0.987,,
7/11/21,2,S1,0.627,48.678,10.355,0.936,,
7/11/21,3,S1,0.641,49.478,10.657,0.753,,
7/12/21,2,S1,0.633,48.789,10.347,0.942,,
7/12/21,3,S1,0.642,49.565,10.941,0.764,,
7/17/21,3,S1,0.64,49.88,10.85,0.735,,
7/25/21,2,S1,0.642,48.48,10.63,0.899,,
8/2/21,3,S1,0.645,49.53,10.82,0.718,,
8/10/21,3,S1,0.638,49.855,10.57,0.752,,
8/10/21,2,S1,0.633,48.495,10.245,0.984,,
12/8/21,4,S11,1.017,8.797,1.167,27.57,0.644,0.182
1/1/22,2,S1,0.628,48.36,9.631,1.894,3.997,0.838
1/1/22,4,S1,0.618,46.95,8.721,2.26,3.677,0.979
1/10/22,4,S1,0.626,47.86,8.727,2.066,3.747,1.006
1/10/22,2,S1,0.63,48.72,9.787,1.821,3.938,0.83
1/17/22,2,S1,0.642,47.67,9.51,1.817,3.977,0.83
1/17/22,4,S1,0.621,47.8,8.872,2.176,3.741,1.004
1/26/22,2,S1,0.64,48.02,9.395,1.912,4.062,0.844
1/26/22,3,S1,0.627,48.15,9.802,2.487,5.202,0.857
1/26/22,4,S1,0.623,47.53,8.876,2.119,3.726,0.995
1/31/22,2,S1,0.635,47.8,9.392,1.861,3.994,0.832
1/31/22,3,S1,0.628,48.36,9.748,2.84,5.124,0.858
1/31/22,4,S1,0.623,47.93,8.853,2.263,3.746,0.995
2/3/22,4,S11,1.017,8.764,1.153,26.94,0.656,0.184
2/7/22,3,S1,0.614,47.93,10.09,1.837,5.172,0.845
2/7/22,4,S1,0.623,48.7,8.638,2.146,3.782,0.999
2/7/22,2,S1,0.633,48.54,9.498,1.656,3.998,0.839
2/12/22,4,S1,0.622,48.62,8.849,2.369,3.782,1.004
2/12/22,2,S1,0.642,48.53,9.561,2.051,3.944,0.832
2/12/22,3,S1,0.618,47.94,10,1.943,5.088,0.855
2/14/22,2,S1,0.626,48.18,9.423,1.891,3.998,0.839
2/14/22,4,S1,0.623,48.57,8.791,2.436,3.801,1.017
2/14/22,3,S1,0.626,48.07,9.86,2.187,5.098,0.848
2/15/22,4,S3,0.99,53.931,4.056,0.691,3.491,1.42
2/16/22,2,S3,0.985,52.54,3.141,1.042,3.541,1.414
2/16/22,3,S3,0.976,52.925,3.221,0.603,2.932,1.366
2/21/22,4,S1,0.622,48.46,8.906,2.486,3.786,1.007
2/21/22,3,S1,0.631,48.29,9.958,2.38,5.216,0.84
2/21/22,2,S1,0.618,48.29,9.442,2.094,3.953,0.826
2/28/22,2,S1,0.64,48.34,9.354,2.201,4.002,0.83
2/28/22,4,S1,0.622,48.61,8.66,2.556,3.775,1.001
2/28/22,3,S1,0.61,48.45,10.06,2.072,5.215,0.856
3/7/22,4,S12,1.389,14.13,1.142,27.42,1.077,0.331
3/7/22,4,S1,0.625,48.45,8.816,2.414,3.792,1.015
3/7/22,3,S1,0.615,48.475,9.802,1.894,4.611,0.843
3/15/22,4,S1,0.618,48.63,8.59,2.44,3.795,1.005
3/15/22,3,S1,0.623,48.245,9.778,2.002,4.578,0.848
3/21/22,4,S11,1.015,8.784,1.141,26.7,0.644,0.179
3/21/22,4,S1,0.619,48.7,8.648,2.192,3.798,1.008
3/21/22,3,S1,0.624,48.185,9.76,1.879,4.566,0.846
3/28/22,4,S1,0.622,48.6,8.707,2.244,3.799,1.019
3/28/22,3,S1,0.614,48.04,10.15,1.865,5.222,0.842
3/28/22,2,S1,0.622,48.33,9.526,1.811,3.989,0.831
4/1/22,4,S11,1.005,8.728,1.103,27.843,0.679,0.183
4/4/22,2,S1,0.642,48.9,9.845,1.812,3.973,0.838
4/4/22,3,S1,0.625,48.33,10.02,2.002,5.164,0.844
4/5/22,4,S1,0.621,48.55,8.646,2.249,3.783,1.008
4/7/22,2,S1,0.636,48.64,9.659,1.693,3.998,0.842
4/8/22,2,S1,0.638,48.29,9.666,1.766,4.023,0.835
4/10/22,4,S12,1.382,14.193,1.157,27.75,1.105,0.333
4/11/22,2,S1,0.652,48.24,9.569,1.664,4.021,0.835
4/11/22,3,S1,0.61,47.87,10.26,1.791,5.2,0.849
4/11/22,4,S1,0.623,47.93,8.901,2.025,3.786,1.007
4/12/22,3,S1,0.619,48.29,10.24,1.787,5.23,0.85
4/12/22,2,S1,0.63,48.34,9.623,1.66,3.988,0.848
4/12/22,4,S1,0.624,47.92,8.681,2.173,3.779,1.013
4/18/22,2,S1,0.633,47.96,9.537,1.61,4.038,0.843
4/18/22,3,S1,0.613,48.21,10.24,1.635,5.197,0.85
4/18/22,4,S1,0.616,48.91,8.721,2.143,3.799,1.013
4/23/22,2,S1,0.64,48.373,9.733,1.566,3.904,0.814
4/24/22,2,S1,0.636,48.281,9.848,1.554,3.889,0.816
4/25/22,4,S1,0.622,49.03,8.77,2.083,3.814,1.007
4/25/22,3,S1,0.627,48.38,10.18,1.658,5.269,0.851
4/25/22,2,S1,0.634,48.372,9.801,1.165,3.917,0.814
4/26/22,2,S1,0.641,48.38,9.682,1.11,3.946,0.834
4/29/22,4,S2,0.656,52.19,6.922,1.054,3.738,1.078
4/29/22,3,S2,0.631,51.017,6.853,0.627,4.593,0.96
4/29/22,3,S1,0.63,48.023,10.76,0.649,5.03,0.79
4/29/22,2,S2,0.652,51.085,6.358,0.887,3.856,0.951
4/29/22,4,S1,0.632,48.055,8.882,1.436,3.706,0.844
4/29/22,2,S1,0.637,48.46,10.09,0.873,3.779,0.769
4/30/22,3,S2,0.638,50.9,6.788,0.612,4.542,0.953
4/30/22,3,S1,0.629,47.982,10.712,0.675,4.979,0.798
4/30/22,4,S2,0.651,51.706,6.833,1.058,3.633,1.076
4/30/22,4,S1,0.634,48.401,9.011,1.466,3.749,0.861
5/1/22,3,S2,0.629,51.037,6.807,0.603,4.481,0.959
5/1/22,3,S1,0.623,48.177,10.727,0.645,5.012,0.807
5/2/22,2,S1,0.638,48.26,9.387,1.567,3.952,0.835
5/2/22,3,S2,0.635,51.53,6.812,0.596,4.554,0.976
5/2/22,3,S11,0.999,8.221,1.62,26.96,0.707,0.167
5/2/22,3,S1,0.636,48.36,10.31,1.608,5.272,0.838
5/2/22,4,S1,0.62,48.89,8.723,2.132,3.825,1.02
5/3/22,3,S1,0.63,48.528,10.568,0.765,5.088,0.802
5/3/22,3,S2,0.639,51.105,6.849,0.614,4.558,0.96
5/3/22,3,S11,1.003,8.229,1.636,26.911,0.713,0.166
5/4/22,3,S12,1.393,13.857,1.332,30.395,1.198,0.318
5/4/22,3,S2,0.637,50.928,6.944,0.657,4.627,0.94
5/4/22,3,S1,0.63,48.483,10.643,0.779,5.052,0.804
5/5/22,3,S2,0.637,51.18,6.863,0.649,4.606,0.946
5/5/22,3,S12,1.399,13.895,1.316,30.22,1.19,0.318
5/5/22,3,S1,0.628,48.59,10.59,0.707,5.127,0.808
5/6/22,3,S2,0.639,51.13,6.78,0.636,4.635,0.952
5/6/22,4,S1,0.632,48.317,8.935,1.618,3.768,0.867
5/6/22,4,S2,0.652,52.103,6.843,1.037,3.695,1.083
5/6/22,3,S1,0.626,48.29,10.631,0.814,5.054,0.797
5/7/22,3,S1,0.625,48.394,10.635,0.699,5.023,0.803
5/7/22,3,S2,0.641,51.312,6.854,0.621,4.658,0.957
5/7/22,4,S2,0.654,51.717,6.88,1.01,3.705,1.081
5/7/22,4,S1,0.633,48.542,9.074,1.553,3.73,0.887
5/8/22,4,S1,0.633,48.4,9.049,1.556,3.753,0.858
5/8/22,4,S2,0.647,51.655,6.893,1.068,3.601,1.076
5/8/22,3,S1,0.635,48.678,10.906,0.683,5.144,0.813
5/8/22,3,S11,0.991,8.178,1.639,26.649,0.751,0.164
5/8/22,3,S2,0.637,51.62,6.761,0.594,4.61,0.961
5/10/22,3,S2,0.643,51.085,7.047,0.619,4.731,0.943
5/10/22,4,S1,0.625,48.84,8.986,1.802,3.771,0.991
5/10/22,2,S1,0.625,48.23,9.497,1.6,3.969,0.837
5/10/22,4,S2,0.651,52.29,6.944,1.029,3.756,1.099
5/10/22,3,S1,0.637,48.487,10.57,0.982,5.101,0.815
5/11/22,4,S1,0.633,48.36,8.775,1.565,3.857,0.724
5/11/22,3,S1,0.636,48.228,10.638,0.716,4.97,0.796
5/11/22,3,S2,0.651,51.278,6.816,0.639,4.582,0.95
5/11/22,4,S2,0.647,51.86,6.895,1.065,3.642,1.069
5/12/22,4,S2,0.654,52.325,6.905,1.007,3.748,1.088
5/12/22,3,S1,0.642,48.23,10.68,0.721,5.161,0.794
5/12/22,3,S2,0.644,51.55,6.959,0.612,4.75,0.959
5/12/22,4,S1,0.632,48.7,9.094,1.485,3.701,0.977
5/13/22,3,S2,0.652,51.262,6.891,0.615,4.665,0.956
5/13/22,4,S2,0.657,52.25,6.946,0.988,3.788,1.104
5/13/22,3,S12,1.381,13.982,1.281,29.985,1.155,0.316
5/13/22,4,S1,0.636,48.6,9.025,1.607,3.669,0.961
5/13/22,3,S1,0.636,48.349,10.711,0.695,5.033,0.8
5/14/22,3,S11,0.994,8.302,1.553,26.385,0.731,0.165
5/14/22,3,S2,0.65,51.277,6.822,0.591,4.611,0.954
5/14/22,4,S1,0.638,48.94,9.11,1.481,3.696,0.973
5/14/22,4,S2,0.652,52.3,6.842,1.013,3.746,1.079
5/14/22,3,S12,1.378,13.963,1.29,29.672,1.163,0.317
5/14/22,3,S1,0.634,48.304,10.801,0.759,5.029,0.796
5/15/22,2,S1,0.637,48.414,9.986,0.951,3.829,0.785
5/15/22,2,S2,0.651,51.213,6.502,0.901,3.806,0.939
5/15/22,3,S2,0.651,51.297,6.834,0.612,4.691,0.956
5/15/22,3,S1,0.634,48.487,10.616,0.732,5.077,0.8
5/16/22,3,S1,0.633,48.544,10.694,0.818,5.115,0.809
5/16/22,3,S12,1.386,13.887,1.427,29.674,1.235,0.316
5/16/22,2,S1,0.636,48.05,9.79,1.098,3.83,0.798
5/16/22,2,S2,0.645,51.06,6.404,0.934,3.781,0.929
5/16/22,3,S2,0.636,51.193,6.837,0.633,4.665,0.939
5/17/22,2,S2,0.654,51.213,6.493,0.916,3.795,0.936
5/17/22,3,S12,1.392,13.917,1.361,29.647,1.216,0.32
5/17/22,3,S2,0.644,51.365,6.908,0.65,4.694,0.951
5/17/22,3,S1,0.63,48.493,10.678,0.747,5.07,0.802
5/17/22,2,S1,0.637,48.314,9.944,0.958,3.827,0.781
