sample,xrf,count,ni_max,ni_min,ni_mean,ni_median,ni_std,fe_max,fe_min,fe_mean,fe_median,fe_std,alu_max,alu_min,alu_mean,alu_median,alu_std
S1,2,227,0.66,0.62,0.64,0.64,0.01,49.31,47.67,48.49,48.48,0.25,11.20,8.52,10.00,10.02,0.42
S1,3,249,0.64,0.61,0.63,0.63,0.01,48.70,47.79,48.30,48.31,0.15,10.91,9.46,10.06,10.02,0.34
S1,4,224,0.64,0.61,0.63,0.63,0.01,49.37,46.95,48.42,48.40,0.37,9.11,6.74,8.06,8.34,0.72
S11,2,141,1.02,0.96,0.98,0.97,0.01,8.49,7.86,8.15,8.13,0.09,1.90,1.14,1.69,1.73,0.17
S11,3,140,1.01,0.99,1.00,1.00,0.01,8.48,8.18,8.31,8.31,0.05,1.78,1.43,1.59,1.59,0.07
S11,4,156,1.02,0.95,0.98,0.97,0.02,8.93,7.72,8.23,7.86,0.50,1.21,0.81,1.02,1.02,0.11
S12,2,140,1.40,1.29,1.37,1.37,0.02,14.06,13.14,13.62,13.62,0.13,1.67,1.12,1.50,1.52,0.12
S12,3,148,1.41,1.34,1.38,1.39,0.01,14.30,13.71,13.94,13.93,0.08,1.56,1.17,1.33,1.34,0.07
S12,4,134,1.41,1.34,1.37,1.37,0.02,14.19,13.12,13.53,13.36,0.31,1.31,0.89,1.07,1.11,0.10
S2,2,204,0.68,0.64,0.66,0.66,0.01,52.41,50.60,51.58,51.58,0.29,7.15,6.24,6.74,6.73,0.17
S2,3,231,0.66,0.62,0.64,0.64,0.01,51.80,50.51,51.22,51.22,0.19,7.15,6.38,6.73,6.70,0.15
S2,4,193,0.67,0.64,0.65,0.65,0.01,52.75,50.44,51.77,51.70,0.35,7.10,4.66,6.33,6.56,0.53
S3,2,145,1.04,0.96,1.02,1.02,0.02,54.30,50.77,53.23,53.30,0.42,3.62,3.04,3.39,3.44,0.13
S3,3,149,1.00,0.95,0.98,0.98,0.01,53.44,45.35,52.86,52.92,0.65,3.66,3.11,3.39,3.38,0.11
S3,4,146,1.01,0.92,1.00,1.00,0.01,55.07,52.54,53.45,53.21,0.58,4.21,3.33,3.83,3.99,0.30
